,Compactness,S_Surface,S_Wall,S_Roof,Overall_Height,S_Glazing,Heating Load,Cooling Load,Orientation_2,Orientation_3,Orientation_4,Orientation_5,Glass_0,Glass_1,Glass_2,Glass_3,Glass_4,Glass_5
0,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,1,0,0,0,1,0,0,0,0,0
1,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,0,1,0,0,1,0,0,0,0,0
2,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,0,0,1,0,1,0,0,0,0,0
3,0.98,514.5,294.0,110.25,1,0.0,15.55,21.33,0,0,0,1,1,0,0,0,0,0
4,0.9,563.5,318.5,122.5,1,0.0,20.84,28.28,1,0,0,0,1,0,0,0,0,0
5,0.9,563.5,318.5,122.5,1,0.0,21.46,25.38,0,1,0,0,1,0,0,0,0,0
6,0.9,563.5,318.5,122.5,1,0.0,20.71,25.16,0,0,1,0,1,0,0,0,0,0
7,0.9,563.5,318.5,122.5,1,0.0,19.68,29.6,0,0,0,1,1,0,0,0,0,0
8,0.86,588.0,294.0,147.0,1,0.0,19.5,27.3,1,0,0,0,1,0,0,0,0,0
9,0.86,588.0,294.0,147.0,1,0.0,19.95,21.97,0,1,0,0,1,0,0,0,0,0
10,0.86,588.0,294.0,147.0,1,0.0,19.34,23.49,0,0,1,0,1,0,0,0,0,0
11,0.86,588.0,294.0,147.0,1,0.0,18.31,27.87,0,0,0,1,1,0,0,0,0,0
12,0.82,612.5,318.5,147.0,1,0.0,17.05,23.77,1,0,0,0,1,0,0,0,0,0
13,0.82,612.5,318.5,147.0,1,0.0,17.41,21.46,0,1,0,0,1,0,0,0,0,0
14,0.82,612.5,318.5,147.0,1,0.0,16.95,21.16,0,0,1,0,1,0,0,0,0,0
15,0.82,612.5,318.5,147.0,1,0.0,15.98,24.93,0,0,0,1,1,0,0,0,0,0
16,0.79,637.0,343.0,147.0,1,0.0,28.52,37.73,1,0,0,0,1,0,0,0,0,0
17,0.79,637.0,343.0,147.0,1,0.0,29.9,31.27,0,1,0,0,1,0,0,0,0,0
18,0.79,637.0,343.0,147.0,1,0.0,29.63,30.93,0,0,1,0,1,0,0,0,0,0
19,0.79,637.0,343.0,147.0,1,0.0,28.75,39.44,0,0,0,1,1,0,0,0,0,0
20,0.76,661.5,416.5,122.5,1,0.0,24.77,29.79,1,0,0,0,1,0,0,0,0,0
21,0.76,661.5,416.5,122.5,1,0.0,23.93,29.68,0,1,0,0,1,0,0,0,0,0
22,0.76,661.5,416.5,122.5,1,0.0,24.77,29.79,0,0,1,0,1,0,0,0,0,0
23,0.76,661.5,416.5,122.5,1,0.0,23.93,29.4,0,0,0,1,1,0,0,0,0,0
24,0.74,686.0,245.0,220.5,0,0.0,6.07,10.9,1,0,0,0,1,0,0,0,0,0
25,0.74,686.0,245.0,220.5,0,0.0,6.05,11.19,0,1,0,0,1,0,0,0,0,0
26,0.74,686.0,245.0,220.5,0,0.0,6.01,10.94,0,0,1,0,1,0,0,0,0,0
27,0.74,686.0,245.0,220.5,0,0.0,6.04,11.17,0,0,0,1,1,0,0,0,0,0
28,0.71,710.5,269.5,220.5,0,0.0,6.37,11.27,1,0,0,0,1,0,0,0,0,0
29,0.71,710.5,269.5,220.5,0,0.0,6.4,11.72,0,1,0,0,1,0,0,0,0,0
30,0.71,710.5,269.5,220.5,0,0.0,6.37,11.29,0,0,1,0,1,0,0,0,0,0
31,0.71,710.5,269.5,220.5,0,0.0,6.4,11.67,0,0,0,1,1,0,0,0,0,0
32,0.69,735.0,294.0,220.5,0,0.0,6.85,11.74,1,0,0,0,1,0,0,0,0,0
33,0.69,735.0,294.0,220.5,0,0.0,6.79,12.05,0,1,0,0,1,0,0,0,0,0
34,0.69,735.0,294.0,220.5,0,0.0,6.77,11.73,0,0,1,0,1,0,0,0,0,0
35,0.69,735.0,294.0,220.5,0,0.0,6.81,11.93,0,0,0,1,1,0,0,0,0,0
36,0.66,759.5,318.5,220.5,0,0.0,7.18,12.4,1,0,0,0,1,0,0,0,0,0
37,0.66,759.5,318.5,220.5,0,0.0,7.1,12.23,0,1,0,0,1,0,0,0,0,0
38,0.66,759.5,318.5,220.5,0,0.0,7.1,12.4,0,0,1,0,1,0,0,0,0,0
39,0.66,759.5,318.5,220.5,0,0.0,7.1,12.14,0,0,0,1,1,0,0,0,0,0
40,0.64,784.0,343.0,220.5,0,0.0,10.85,16.78,1,0,0,0,1,0,0,0,0,0
41,0.64,784.0,343.0,220.5,0,0.0,10.54,16.8,0,1,0,0,1,0,0,0,0,0
42,0.64,784.0,343.0,220.5,0,0.0,10.77,16.75,0,0,1,0,1,0,0,0,0,0
43,0.64,784.0,343.0,220.5,0,0.0,10.56,16.67,0,0,0,1,1,0,0,0,0,0
44,0.62,808.5,367.5,220.5,0,0.0,8.6,12.07,1,0,0,0,1,0,0,0,0,0
45,0.62,808.5,367.5,220.5,0,0.0,8.49,12.22,0,1,0,0,1,0,0,0,0,0
