,Channel,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Region_Lisbon,Region_Oporto,Other Region
0,1,12669,9656,7561,214,2674,1338,0,0,1
1,1,7057,9810,9568,1762,3293,1776,0,0,1
2,1,6353,8808,7684,2405,3516,7844,0,0,1
3,0,13265,1196,4221,6404,507,1788,0,0,1
4,1,22615,5410,7198,3915,1777,5185,0,0,1
5,1,9413,8259,5126,666,1795,1451,0,0,1
6,1,12126,3199,6975,480,3140,545,0,0,1
7,1,7579,4956,9426,1669,3321,2566,0,0,1
8,0,5963,3648,6192,425,1716,750,0,0,1
9,1,6006,11093,18881,1159,7425,2098,0,0,1
10,1,3366,5403,12974,4400,5977,1744,0,0,1
11,1,13146,1124,4523,1420,549,497,0,0,1
12,1,31714,12319,11757,287,3881,2931,0,0,1
13,1,21217,6208,14982,3095,6707,602,0,0,1
14,1,24653,9465,12091,294,5058,2168,0,0,1
15,0,10253,1114,3821,397,964,412,0,0,1
16,1,1020,8816,12121,134,4508,1080,0,0,1
17,0,5876,6157,2933,839,370,4478,0,0,1
18,1,18601,6327,10099,2205,2767,3181,0,0,1
19,0,7780,2495,9464,669,2518,501,0,0,1
20,1,17546,4519,4602,1066,2259,2124,0,0,1
21,0,5567,871,2010,3383,375,569,0,0,1
22,0,31276,1917,4469,9408,2381,4334,0,0,1
23,1,26373,36423,22019,5154,4337,16523,0,0,1
24,1,22647,9776,13792,2915,4482,5778,0,0,1
25,1,16165,4230,7595,201,4003,57,0,0,1
26,0,9898,961,2861,3151,242,833,0,0,1
27,0,14276,803,3045,485,100,518,0,0,1
28,1,4113,20484,25957,1158,8604,5206,0,0,1
29,0,43088,2100,2609,1200,1107,823,0,0,1
30,0,18815,3610,11107,1148,2134,2963,0,0,1
31,0,2612,4339,3133,2088,820,985,0,0,1
32,0,21632,1318,2886,266,918,405,0,0,1
33,0,29729,4786,7326,6130,361,1083,0,0,1
34,0,1502,1979,2262,425,483,395,0,0,1
35,1,688,5491,11091,833,4239,436,0,0,1
36,0,29955,4362,5428,1729,862,4626,0,0,1
37,1,15168,10556,12477,1920,6506,714,0,0,1
38,1,4591,15729,16709,33,6956,433,0,0,1
39,0,56159,555,902,10002,212,2916,0,0,1
40,0,24025,4332,4757,9510,1145,5864,0,0,1
41,0,19176,3065,5956,2033,2575,2802,0,0,1
42,1,10850,7555,14961,188,6899,46,0,0,1
43,1,630,11095,23998,787,9529,72,0,0,1
44,1,9670,7027,10471,541,4618,65,0,0,1
45,1,5181,22044,21531,1740,7353,4985,0,0,1
46,1,3103,14069,21955,1668,6792,1452,0,0,1
47,1,44466,54259,55571,7782,24171,6465,0,0,1
48,1,11519,6152,10868,584,5121,1476,0,0,1
49,1,4967,21412,28921,1798,13583,1163,0,0,1
50,0,6269,1095,1980,3860,609,2162,0,0,1
51,0,3347,4051,6996,239,1538,301,0,0,1
52,1,40721,3916,5876,532,2587,1278,0,0,1
53,1,491,10473,11532,744,5611,224,0,0,1
54,0,27329,1449,1947,2436,204,1333,0,0,1
55,0,5264,3683,5005,1057,2024,1130,0,0,1
56,1,4098,29892,26866,2616,17740,1340,0,0,1
57,1,5417,9933,10487,38,7572,1282,0,0,1
58,0,13779,1970,1648,596,227,436,0,0,1
59,0,6137,5360,8040,129,3084,1603,0,0,1
60,1,8590,3045,7854,96,4095,225,0,0,1
61,1,35942,38369,59598,3254,26701,2017,0,0,1
62,1,7823,6245,6544,4154,4074,964,0,0,1
63,1,9396,11601,15775,2896,7677,1295,0,0,1
64,0,4760,1227,3250,3724,1247,1145,0,0,1
65,1,85,20959,45828,36,24231,1423,0,0,1
66,0,9,1534,7417,175,3468,27,0,0,1
67,1,19913,6759,13462,1256,5141,834,0,0,1
68,0,2446,7260,3993,5870,788,3095,0,0,1
69,0,8352,2820,1293,779,656,144,0,0,1
70,0,16705,2037,3202,10643,116,1365,0,0,1
71,0,18291,1266,21042,5373,4173,14472,0,0,1
72,0,4420,5139,2661,8872,1321,181,0,0,1
73,1,19899,5332,8713,8132,764,648,0,0,1
74,1,8190,6343,9794,1285,1901,1780,0,0,1
75,0,20398,1137,3,4407,3,975,0,0,1
76,0,717,3587,6532,7530,529,894,0,0,1
77,1,12205,12697,28540,869,12034,1009,0,0,1
78,0,10766,1175,2067,2096,301,167,0,0,1
79,0,1640,3259,3655,868,1202,1653,0,0,1
80,0,7005,829,3009,430,610,529,0,0,1
81,1,219,9540,14403,283,7818,156,0,0,1
82,1,10362,9232,11009,737,3537,2342,0,0,1
83,0,20874,1563,1783,2320,550,772,0,0,1
84,1,11867,3327,4814,1178,3837,120,0,0,1
85,1,16117,46197,92780,1026,40827,2944,0,0,1
86,1,22925,73498,32114,987,20070,903,0,0,1
87,0,43265,5025,8117,6312,1579,14351,0,0,1
88,0,7864,542,4042,9735,165,46,0,0,1
89,0,24904,3836,5330,3443,454,3178,0,0,1
90,0,11405,596,1638,3347,69,360,0,0,1
91,0,12754,2762,2530,8693,627,1117,0,0,1
92,1,9198,27472,32034,3232,18906,5130,0,0,1
93,0,11314,3090,2062,35009,71,2698,0,0,1
94,1,5626,12220,11323,206,5038,244,0,0,1
95,0,3,2920,6252,440,223,709,0,0,1
96,1,23,2616,8118,145,3874,217,0,0,1
97,0,403,254,610,774,54,63,0,0,1
98,0,503,112,778,895,56,132,0,0,1
99,0,9658,2182,1909,5639,215,323,0,0,1
100,1,11594,7779,12144,3252,8035,3029,0,0,1
101,1,1420,10810,16267,1593,6766,1838,0,0,1
102,1,2932,6459,7677,2561,4573,1386,0,0,1
103,0,56082,3504,8906,18028,1480,2498,0,0,1
104,0,14100,2132,3445,1336,1491,548,0,0,1
105,0,15587,1014,3970,910,139,1378,0,0,1
106,1,1454,6337,10704,133,6830,1831,0,0,1
107,1,8797,10646,14886,2471,8969,1438,0,0,1
108,1,1531,8397,6981,247,2505,1236,0,0,1
109,1,1406,16729,28986,673,836,3,0,0,1
110,0,11818,1648,1694,2276,169,1647,0,0,1
111,1,12579,11114,17569,805,6457,1519,0,0,1
112,0,19046,2770,2469,8853,483,2708,0,0,1
113,0,14438,2295,1733,3220,585,1561,0,0,1
114,0,18044,1080,2000,2555,118,1266,0,0,1
115,0,11134,793,2988,2715,276,610,0,0,1
116,0,11173,2521,3355,1517,310,222,0,0,1
117,0,6990,3880,5380,1647,319,1160,0,0,1
118,0,20049,1891,2362,5343,411,933,0,0,1
119,0,8258,2344,2147,3896,266,635,0,0,1
120,0,17160,1200,3412,2417,174,1136,0,0,1
121,0,4020,3234,1498,2395,264,255,0,0,1
122,0,12212,201,245,1991,25,860,0,0,1
123,1,11170,10769,8814,2194,1976,143,0,0,1
124,0,36050,1642,2961,4787,500,1621,0,0,1
